address,zipcode,lattitude,longitude
2616 South Shields Avenue,60616,41.844895,-87.63549
349 East 48th Street,60615,41.807568,-87.617608
9400 S Greenwood Ave,60619,41.723933,-87.597269
9400 S GREENWOOD AVE Chicago,60619,41.723933,-87.597269
1400 North Sacramento Avenue,60622,41.902765,-87.701791
4901 N Sheridan Rd,60640,41.971524,-87.654897
5324 S Woodlawn Ave,60615,41.798805,-87.596613
2200 E 103rd St,60617,41.708034,-87.568822
2045 N Lincoln Park West,60614,41.919658,-87.636379
3843 N California Ave,60618,41.950942,-87.698134
9801 S Avenue G,60617,41.718303,-87.531025
9801 S Avenue G,60617,41.718303,-87.531025
Calumet Park Fieldhouse,60617,41.66463,-87.66945
9806 S Ave G,60617,41.717821,-87.53159
9807 S Ave G,60617,41.717821,-87.53159
9803 S Ave G,60617,41.717823,-87.531589
9802 S Ave G,60617,41.717823,-87.531589
8500 South Green Bay Avenue,60617,41.743834,-87.541818
9801 S Avenue G,60617,41.718303,-87.531025
2750 S Ashland Ave,60608,41.841752,-87.665899
2701 S Ashland Ave,60608,41.842481,-87.665778
2900 S Ashland Ave,60608,41.839558,-87.665864
337 E Randolph St,60601,41.884351,-87.620142
4100 N Long Ave,60641,41.955113,-87.762131
1130 Midway Plaisance North,60637,41.780991,-87.604053
1224 W Carmen Ave,60640,41.974565,-87.660807
6153 S Carpenter St,60621,41.781533,-87.650926
1501 W Randolph St,60607,41.884747,-87.66427
939 E 132nd St,60827,41.655858,-87.599593
939 E 132nd St,60827,41.655858,-87.599593
939 E132nd St,60827,41.655858,-87.599593
5311 N Winthrop Ave,60640,41.978321,-87.657872
6068 N Northwest Highway,60631,41.991611,-87.797843
721 N Central Park Ave,60624,41.894234,-87.716306
1100 W Irving Park Rd,60613,41.954481,-87.657101
4227 S Greenwood Ave,60653,41.817375,-87.599389
2045 N Lincoln Park West,60614,41.919658,-87.636379
1425 N Damen Avenue,60622,41.907977,-87.677399
4701 N Ashland Ave,60640,41.967097,-87.669326
1130 Midway Plaisance North,60637,41.780991,-87.604053
7001 S Dante Ave,60611,41.767873,-87.589482
2045 N Lincoln Park West,60614,41.919658,-87.636379
1719 W Wolfram,60657,41.933247,-87.672892
3857 W 111th St,60655,41.691322,-87.716814
1601 North Clark Street,60614,41.911789,-87.631947
1801 S Indiana Ave,60616,41.857935,-87.622279
1801 S Indiana,60616,41.857935,-87.622279
2318 N Lavergne Ave,60639,41.923288,-87.751205
6748 N Sacramento Ave,60645,42.004271,-87.70461
6748 N Sacramento Ave,60645,42.004271,-87.70461
3420 N Long Ave,60641,41.943124,-87.76173
1533 S Christiana Ave,60623,41.860279,-87.709131
801 S Loomis St,60607,41.871723,-87.6617
1825 N Damen Ave,60614,41.921768,-87.677739
1825 N Damen Ave,60614,41.921768,-87.677739
6601 N Western Ave,60645,42.001363,-87.689946
2500 W Lunt Ave,60645,42.008606,-87.692536
2045 N Lincoln Park West,60614,41.919658,-87.636379
2334 W Flournoy St,60612,41.873023,-87.685071
301 S Columbus Dr,60601,41.87586,-87.620623
Congress Pkwy & Columbus Dr,60605,41.875893,-87.620624
399 South Columbus Drive,60605,41.877405,-87.620646
4501 N Clarendon Ave,60640,41.963681,-87.649962
4501 N Marine Drive,60640,41.963319,-87.64776
4501 N Clarendon Ave,60640,41.963681,-87.649962
4615 W Jackson Blvd,60644,41.876926,-87.740505
3400 N Rockwell St,60618,41.941159,-87.693092
3400 N Rockwell Ave,60618,41.946699,-87.703343
3400 N Rockwell St,60618,41.941159,-87.693092
3400 N Rockwell Ave,60618,41.946699,-87.703343
4615 W Jackson Blvd,60644,41.876926,-87.740505
2210 N Southport Ave,60614,41.921974,-87.663174
1755 N Clybourn Ave,60614,41.913169,-87.652608
5550 N Magnolia Ave,60640,41.983423,-87.661365
5554 N Magnolia,60640,41.983265,-87.661359
361 E 85th St,60619,41.740144,-87.615445
5445 S Drexel Ave,60615,41.796547,-87.603877
1466 S Wabash Ave,60605,41.862914,-87.62572
500 S Central Ave,60644,41.873961,-87.764595
500 S Central Ave,60644,41.873961,-87.764595
500 S Central,60644,41.873961,-87.764595
5701 W Jackson Boulevard Chicago,60644,41.877049,-87.7687
500 S Central Park Ave,60644,41.87436,-87.715693
350 S Central Ave,60644,41.875323,-87.764676
5793 W Adams Blvd,60644,41.877692,-87.769481
5701 W Jackson Blvd,60644,41.877049,-87.7687
2045 N Lincoln Park West,60614,41.919658,-87.636379
1434 S Loomis Street,60608,41.862363,-87.661434
630 N Kingsbury St,60606,41.88884,-87.638689
1845 W Rice St,60622,41.896879,-87.673798
1845 W Rice St,60622,41.896879,-87.673798
4701 N Ashland Ave,60640,41.967097,-87.669326
331 W 45th St,60609,41.812507,-87.634581
1331 W Adams St,60607,41.879027,-87.66071
1331 W Monroe St,60607,41.880283,-87.659439
410 W Chicago Ave,60654,41.896584,-87.639313
2460 W 102nd St,60655,41.708192,-87.68277
1501 W Randolph St,60607,41.884747,-87.66427
861 N Wabash Ave,60611,41.898195,-87.6269
861 North Wabash Avenue,60611,41.898195,-87.6269
4430 S Marshfield Ave,60609,41.813094,-87.6663
Lakefront Trail,60640,41.971888,-87.662232
11712 S Ada Street,60643,41.681236,-87.65541
5473 S Cornell Ave,60615,41.796057,-87.585409
1809 W 50th St,60609,41.803113,-87.670689
4850 S Cornell Dr,60615,41.801993,-87.602725
1809 W 50th St,60609,41.803113,-87.670689
9201 S Longwood Dr,60620,41.728389,-87.669265
44 W 15th St,60616,41.861908,-87.628949
5058 W West End Ave,60644,41.883048,-87.752542
5058 W End Ave,60644,41.883048,-87.752542
2045 N Lincoln Park West,60614,41.919658,-87.636379
2021 N Burling St,60614,41.919044,-87.647303
2611 N Lockwood Ave,60639,41.9282,-87.758743
1516 S Karlov Ave,60623,41.860025,-87.727445
2333 W Sunnyside Ave,60625,41.963199,-87.686423
2200 W 108th Pl,60643,41.696684,-87.677166
4500 N Lakeshore Drive | W Montrose,60607,41.918162,-83.335095
6404 N Kedzie,60645,41.997395,-87.709352
2045 N Lincoln Park West,60614,41.919658,-87.636379
4949 S Archer Ave,60632,41.80303,-87.722326
6340 N Lakewood,60660,41.90922,-87.784667
6340 N Lakewood Ave,60660,41.997563,-87.663015
3150 South Western Avenue,60608,41.83703,-87.684865
