property_type,address,zip,price,beds,baths,location,sq_feet,latitude,longitude
Condo/Co-op,535 N Michigan Ave #1201,60611,318000.0,2.0,1.0,Near North Side,1000.0,41.8919328,-87.623856
Condo/Co-op,1040 N Lake Shore Dr Unit 23B,60611,950000.0,1.0,2.5,Near North Side,2230.0,41.9020249,-87.6246949
Condo/Co-op,10 E Delaware Pl Unit 18E,60611,1588000.0,3.0,3.5,Near North Side,2170.0,41.8993009,-87.6279319
Condo/Co-op,200 E Delaware Pl Unit 15A,60611,699000.0,3.0,2.0,Near North Side,1550.0,41.8995075,-87.6211813
Condo/Co-op,100 E Walton St Unit 25E,60611,239900.0,1.0,1.0,Near North Side,750.0,41.9002501,-87.6250781
Condo/Co-op,401 E Ontario St #3107,60611,310000.0,1.0,1.0,Near North Side,800.0,41.8932199,-87.6168477
Condo/Co-op,222 E Pearson St #504,60611,329900.0,2.0,1.0,Near North Side,1000.0,41.8979023,-87.620689
Condo/Co-op,401 N Wabash Ave #2754,60611,750000.0,0.0,1.0,Near North Side,907.0,41.8888012,-87.6263094
Condo/Co-op,401 N Wabash Ave #2504,60611,500000.0,0.0,1.0,Near North Side,907.0,41.8890478,-87.6269316
Condo/Co-op,401 N Wabash Ave #2404,60611,500000.0,0.0,1.0,Near North Side,907.0,41.8890478,-87.6269316
Condo/Co-op,401 N Wabash Ave #2304,60611,500000.0,0.0,1.0,Near North Side,907.0,41.8888012,-87.6263094
Condo/Co-op,505 N Mcclurg Ct #2806,60611,450000.0,1.0,1.0,Near North Side,1053.0,41.8914796,-87.6164532
Condo/Co-op,1150 N Lake Shore Dr Unit 15D,60611,275000.0,1.0,1.0,Near North Side,900.0,41.903695,-87.625372
Condo/Co-op,50 E Bellevue Pl #605,60611,489900.0,2.0,2.0,Near North Side,1400.0,41.9018803,-87.6267094
Condo/Co-op,600 N Lake Shore Dr #4004,60611,1399000.0,3.0,2.5,Near North Side,2159.0,41.8930694,-87.6151037
Condo/Co-op,600 N Fairbanks Ct #2504,60611,419000.0,1.0,1.0,Near North Side,873.0,41.8930264,-87.6206466
Condo/Co-op,777 N Michigan Ave #900,60611,649000.0,3.0,2.5,Near North Side,1700.0,41.896415,-87.62385
Condo/Co-op,200 E Delaware Pl Unit 12D,60611,775000.0,3.0,2.0,Near North Side,1550.0,41.8995075,-87.6211813
Condo/Co-op,250 E Pearson St #2102,60611,799000.0,2.0,2.0,Near North Side,1565.0,41.8979202,-87.6189597
Condo/Co-op,600 N Lake Shore Dr #2507,60611,496000.0,1.0,1.5,Near North Side,1116.0,41.8930694,-87.6151037
Condo/Co-op,132 E Delaware Pl #5602,60611,2395000.0,3.0,3.0,Near North Side,2727.0,41.8996412,-87.6251219
Condo/Co-op,55 E Erie St #3001,60611,939000.0,2.0,2.0,Near North Side,1588.0,41.8938978,-87.6260539
Condo/Co-op,535 N Michigan Ave #1701,60611,279000.0,2.0,1.0,Near North Side,1000.0,41.8919328,-87.623856
Condo/Co-op,512 N Mcclurg Ct #611,60611,300000.0,1.0,1.0,Near North Side,965.0,41.8915234,-87.6178142
Condo/Co-op,860 N Lake Shore Dr Unit 5L,60611,595000.0,3.0,2.0,Near North Side,1600.0,41.8986487,-87.618908
Condo/Co-op,78 E Elm St #1,60611,409000.0,2.0,2.0,Near North Side,1500.0,41.903492,-87.625758
Condo/Co-op,800 N Michigan Ave #4802,60611,1699000.0,2.0,2.5,Near North Side,2052.0,41.8971181,-87.6255019
Condo/Co-op,512 N Mcclurg Ct #4702,60611,199900.0,0.0,1.0,Near North Side,700.0,41.8914546,-87.6189422
Condo/Co-op,233 E Erie St #2409,60611,175000.0,1.0,1.0,Near North Side,,41.8940058,-87.6214522
Condo/Co-op,100 E Bellevue Pl Unit 15C,60611,549900.0,2.0,2.0,Near North Side,1400.0,41.9019284,-87.6256565
Condo/Co-op,474 N Lake Shore Dr #5805,60611,549000.0,2.0,2.0,Near North Side,1395.0,41.8907702,-87.6148195
Condo/Co-op,600 N Fairbanks Ct #1801,60611,1025000.0,3.0,2.5,Near North Side,,41.8930264,-87.6206466
Condo/Co-op,512 N Mcclurg Ct #5405,60611,370000.0,1.0,1.0,Near North Side,965.0,41.8914546,-87.6189422
Condo/Co-op,535 N Michigan Ave #1510,60611,199000.0,0.0,1.0,Near North Side,600.0,41.8919328,-87.623856
Condo/Co-op,401 E Ontario St #1906,60611,249000.0,1.0,1.0,Near North Side,700.0,41.8932199,-87.6168477
Condo/Co-op,230 E Ontario St #306,60611,249900.0,1.0,1.0,Near North Side,875.0,41.8936581,-87.6212229
Condo/Co-op,600 N Fairbanks Ct #1703,60611,399000.0,1.0,1.0,Near North Side,900.0,41.8930264,-87.6206466
Condo/Co-op,222 E Pearson St #1602,60611,489900.0,3.0,2.0,Near North Side,,41.8979023,-87.620689
Condo/Co-op,201 E Chestnut St Unit 22D,60611,339900.0,1.0,1.0,Near North Side,1050.0,41.898127,-87.621595
Condo/Co-op,161 E Chicago Ave Unit 34B,60611,825000.0,2.0,2.5,Near North Side,2154.0,41.8964162,-87.6233837
Condo/Co-op,260 E Chestnut St #1805,60611,149000.0,0.0,1.0,Near North Side,,41.8988262,-87.6196005
Condo/Co-op,680 N Lake Shore Dr #1320,60611,325000.0,2.0,1.5,Near North Side,1300.0,41.8946699,-87.616715
Condo/Co-op,25 E Superior St #4201,60611,1700000.0,4.0,3.0,Near North Side,2610.0,41.8954074,-87.6272288
Condo/Co-op,175 E Delaware Pl #5501,60611,339800.0,2.0,2.0,Near North Side,1300.0,41.8989444,-87.6227945
Condo/Co-op,512 N Mcclurg Ct #4102,60611,239000.0,0.0,1.0,Near North Side,651.0,41.8914546,-87.6189422
Condo/Co-op,222 E Pearson St #1905,60611,179900.0,0.0,1.0,Near North Side,700.0,41.8979023,-87.620689
Condo/Co-op,401 N Wabash Ave Unit 40D,60611,675000.0,1.0,1.5,Near North Side,1046.0,41.8888012,-87.6263094
Condo/Co-op,401 N Wabash Ave Unit 32A,60611,2695000.0,2.0,4.0,Near North Side,3437.0,41.8888012,-87.6263094
Condo/Co-op,100 E Huron St #2901,60611,395000.0,1.0,1.5,Near North Side,1026.0,41.8935881,-87.6238692
Condo/Co-op,240 E Illinois St #1208,60611,545000.0,2.0,2.0,Near North Side,1293.0,41.891402,-87.6213118
Condo/Co-op,401 E Ontario St #401,60611,300000.0,1.0,1.0,Near North Side,900.0,41.893214,-87.6169215
Condo/Co-op,680 N Lake Shore Dr #1502,60611,1125000.0,3.0,2.5,Near North Side,3316.0,41.8946708,-87.6177765
Condo/Co-op,550 N St. Clair St #2003,60611,825000.0,3.0,2.5,Near North Side,1740.0,41.8922991,-87.6229169
Condo/Co-op,180 E Pearson St #5803,60611,3300000.0,3.0,5.5,Near North Side,3320.0,41.8978308,-87.6222385
Condo/Co-op,550 N Saint Clair St #2006,60611,1100000.0,3.0,3.0,Near North Side,2050.0,41.8922991,-87.6229169
Condo/Co-op,535 N Michigan Ave #2207,60611,175000.0,0.0,1.0,Near North Side,525.0,41.8919328,-87.623856
Condo/Co-op,535 N Michigan Ave #2306,60611,219000.0,1.0,1.0,Near North Side,950.0,41.8919328,-87.623856
Condo/Co-op,550 N St Clair St #1308,60611,689900.0,3.0,2.0,Near North Side,1625.0,41.892322,-87.6230017
Condo/Co-op,401 E Ontario St #1202,60611,430000.0,2.0,2.0,Near North Side,1200.0,41.8932199,-87.6168477
Condo/Co-op,40 E Cedar St Unit 16B,60611,235000.0,1.0,1.0,Near North Side,900.0,41.9027706,-87.6269295
Condo/Co-op,30 E Elm St Unit 4D,60611,179900.0,1.0,1.0,Near North Side,700.0,41.9034566,-87.627527
Condo/Co-op,160 E Illinois St #1904,60611,319900.0,1.0,1.0,Near North Side,805.0,41.8912274,-87.6230761
