SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4912 S Michigan Ave,Chicago,IL,60615,650000,5.0,4.5,Grand Boulevard,4350.0,3998.0,1895.0,94,149.0,,Active,,,http://www.redfin.com/IL/Chicago/4912-S-Michigan-Ave-60615/home/147881087,MRED,10942930,N,Y,41.8050894,-87.6230828
MLS Listing,,Condo/Co-op,4940 S East End Ave Unit 2B,Chicago,IL,60615,250000,3.0,3.0,Kenwood,1500.0,,1929.0,94,167.0,1048.0,Active,,,http://www.redfin.com/IL/Chicago/4940-S-East-End-Ave-60615/unit-2B/home/173811375,MRED,10942879,N,Y,41.8049466,-87.585806
MLS Listing,,Condo/Co-op,1450 E 55th St Unit 522S,Chicago,IL,60615,108000,0.0,1.0,Hyde Park,,,1959.0,107,,434.0,Active,,,http://www.redfin.com/IL/Chicago/1450-E-55th-St-60615/unit-522S/home/105515348,MRED,10936055,N,Y,41.7956625,-87.5896799
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 2310N,Chicago,IL,60615,89500,0.0,1.0,Kenwood,600.0,,1962.0,107,149.0,350.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-2310N/home/13948920,MRED,10936045,N,Y,41.806603,-87.586581
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 1201S,Chicago,IL,60615,240000,2.0,2.0,Kenwood,1198.0,,1962.0,118,200.0,1012.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-1201S/home/13947546,MRED,10927448,N,Y,41.806603,-87.586581
MLS Listing,,Vacant Land,1330 E Hyde Park Blvd,Chicago,IL,60615,1600000,,,Kenwood,,11900.0,,118,,,Active,,,http://www.redfin.com/IL/Chicago/1330-E-Hyde-Park-Blvd-60615/home/144574445,MRED,10926800,N,Y,41.8027739,-87.5938244
MLS Listing,,Condo/Co-op,4856 S INDIANA Ave #303,Chicago,IL,60615,154900,2.0,2.0,Grand Boulevard,1050.0,,2001.0,119,148.0,171.0,Active,,,http://www.redfin.com/IL/Chicago/4856-S-Indiana-Ave-60615/unit-303/home/148349243,MRED,10925717,N,Y,41.8058148,-87.6214252
MLS Listing,,Condo/Co-op,1000 E 53rd St Unit 620-619,Chicago,IL,60615,340000,3.0,2.0,Hyde Park,2100.0,,,121,162.0,1728.0,Active,,,http://www.redfin.com/IL/Chicago/1000-E-53rd-St-60615/unit-620-619/home/173624679,MRED,10885172,N,Y,41.7996326,-87.6010241
MLS Listing,,Condo/Co-op,5050 S East End Ave S Unit 4A,Chicago,IL,60615,129900,2.0,1.0,Kenwood,1120.0,,1956.0,125,116.0,664.0,Active,,,http://www.redfin.com/IL/Chicago/5050-S-East-End-Ave-60615/unit-4A/home/173591777,MRED,10921829,N,Y,41.8028466,-87.5857262
MLS Listing,,Condo/Co-op,4800 S Lake Park Ave #2412,Chicago,IL,60615,35000,2.0,1.0,Kenwood,1175.0,,1970.0,127,30.0,1128.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Lake-Park-Ave-60615/unit-2412/home/173567006,MRED,10919650,N,Y,41.8074698,-87.5913632
MLS Listing,,Single Family Residential,4721 S Woodlawn Ave,Chicago,IL,60615,582000,5.0,3.0,Kenwood,2429.0,1785.0,1992.0,131,240.0,147.0,Active,,,http://www.redfin.com/IL/Chicago/4721-S-Woodlawn-Ave-60615/home/13950713,MRED,10916188,N,Y,41.8090009,-87.5966643
MLS Listing,,Multi-Family (2-4 Unit),5019 S Indiana Ave,Chicago,IL,60615,949900,9.0,6.0,Grand Boulevard,,3920.0,2020.0,135,,,Active,,,http://www.redfin.com/IL/Chicago/5019-S-Indiana-Ave-60615/home/28931223,MRED,10912242,N,Y,41.8033434,-87.6208051
MLS Listing,,Condo/Co-op,4815 S Champlain Ave #3,Chicago,IL,60615,205000,3.0,2.0,Grand Boulevard,1500.0,,2000.0,135,137.0,210.0,Active,,,http://www.redfin.com/IL/Chicago/4815-S-Champlain-Ave-60615/unit-3/home/12692510,MRED,10911608,N,Y,41.8071972,-87.6097977
MLS Listing,,Townhouse,825 E 48th St Unit C,Chicago,IL,60615,45000,2.0,1.0,Kenwood,1037.0,3780.0,1956.0,136,43.0,75.0,Active,,,http://www.redfin.com/IL/Chicago/825-E-48th-St-60615/unit-C/home/13950743,MRED,10911009,N,Y,41.8075991,-87.605486
MLS Listing,,Condo/Co-op,5201 S Blackstone Ave Unit 3W,Chicago,IL,60615,275000,2.0,1.0,Hyde Park,1063.0,,1890.0,141,259.0,247.0,Active,,,http://www.redfin.com/IL/Chicago/5201-S-Blackstone-Ave-60615/unit-3W/home/12732413,MRED,10905355,N,Y,41.8007599,-87.590146
MLS Listing,,Condo/Co-op,5224 S Michigan Ave #2,Chicago,IL,60615,190000,3.0,2.0,Washington Park,1400.0,,2007.0,146,136.0,155.0,Active,,,http://www.redfin.com/IL/Chicago/5224-S-Michigan-Ave-60615/unit-2/home/26824443,MRED,10898262,N,Y,41.7993335,-87.623015
